date,ticker,score
2022-10-30,AAL,4.0
2022-11-06,AAL,4.0
2022-11-13,AAL,4.0
2022-11-20,AAL,3.0
2022-11-27,AAL,3.0
2022-12-04,AAL,4.0
2022-12-11,AAL,4.0
2022-12-18,AAL,4.0
2022-12-25,AAL,4.0
2023-01-01,AAL,4.0
2023-01-08,AAL,6.0
2023-01-15,AAL,5.0
2023-01-22,AAL,6.0
2023-01-29,AAL,5.0
2023-02-05,AAL,5.0
2023-02-12,AAL,4.0
2023-02-19,AAL,4.0
2023-02-26,AAL,4.0
2023-03-05,AAL,4.0
2023-03-12,AAL,4.0
2023-03-19,AAL,4.0
2023-03-26,AAL,4.0
2023-04-02,AAL,4.0
2023-04-09,AAL,6.0
2023-04-16,AAL,5.0
2023-04-23,AAL,5.0
2023-04-30,AAL,4.0
2023-05-07,AAL,5.0
2023-05-14,AAL,5.0
2023-05-21,AAL,5.0
2023-05-28,AAL,4.0
2023-06-04,AAL,5.0
2023-06-11,AAL,5.0
2023-06-18,AAL,4.0
2023-06-25,AAL,6.0
2023-07-02,AAL,5.0
2023-07-09,AAL,6.0
2023-07-16,AAL,7.0
2023-07-23,AAL,6.0
2023-07-30,AAL,4.0
2023-08-06,AAL,4.0
2023-08-13,AAL,4.0
2023-08-20,AAL,4.0
2023-08-27,AAL,4.0
2023-09-03,AAL,3.0
2023-09-10,AAL,4.0
2023-09-17,AAL,4.0
2023-09-24,AAL,4.0
2023-10-01,AAL,4.0
2023-10-08,AAL,4.0
2023-10-15,AAL,6.0
2023-10-22,AAL,4.0
2023-10-29,AAL,5.0
2023-11-05,AAL,4.0
2023-11-12,AAL,4.0
2023-11-19,AAL,4.0
2023-11-26,AAL,4.0
2023-12-03,AAL,5.0
2023-12-10,AAL,5.0
2023-12-17,AAL,4.0
2023-12-24,AAL,4.0
2023-12-31,AAL,4.0
2024-01-07,AAL,5.0
2024-01-14,AAL,5.0
2024-01-21,AAL,7.0
2024-01-28,AAL,5.0
2024-02-04,AAL,4.0
2024-02-11,AAL,4.0
2024-02-18,AAL,4.0
2024-02-25,AAL,4.0
2024-03-03,AAL,4.0
2024-03-10,AAL,4.0
2024-03-17,AAL,4.0
2024-03-24,AAL,3.0
2024-03-31,AAL,4.0
2024-04-07,AAL,4.0
2024-04-14,AAL,4.0
2024-04-21,AAL,5.0
2024-04-28,AAL,4.0
2024-05-05,AAL,4.0
2024-05-12,AAL,4.0
2024-05-19,AAL,4.0
2024-05-26,AAL,7.0
2024-06-02,AAL,6.0
2024-06-09,AAL,5.0
2024-06-16,AAL,4.0
2024-06-23,AAL,5.0
2024-06-30,AAL,4.0
2024-07-07,AAL,6.0
2024-07-14,AAL,6.0
2024-07-21,AAL,7.0
2024-07-28,AAL,5.0
2024-08-04,AAL,6.0
2024-08-11,AAL,4.0
2024-08-18,AAL,5.0
2024-08-25,AAL,4.0
2024-09-01,AAL,4.0
2024-09-08,AAL,4.0
2024-09-15,AAL,4.0
2024-09-22,AAL,4.0
2024-09-29,AAL,4.0
2024-10-06,AAL,4.0
2024-10-13,AAL,5.0
2024-10-20,AAL,5.0
2024-10-27,AAL,4.0
2024-11-03,AAL,4.0
2024-11-10,AAL,4.0
2024-11-17,AAL,4.0
2024-11-24,AAL,4.0
2024-12-01,AAL,6.0
2024-12-08,AAL,5.0
2024-12-15,AAL,4.0
2024-12-22,AAL,4.0
2024-12-29,AAL,4.0
2025-01-05,AAL,4.0
2025-01-12,AAL,4.0
2025-01-19,AAL,6.0
2025-01-26,AAL,7.0
2025-02-02,AAL,4.0
2025-02-09,AAL,4.0
2025-02-16,AAL,4.0
2025-02-23,AAL,4.0
2025-03-02,AAL,4.0
2025-03-09,AAL,6.0
2025-03-16,AAL,5.0
2025-03-23,AAL,4.0
2025-03-30,AAL,6.0
2025-04-06,AAL,8.0
2025-04-13,AAL,5.0
2025-04-20,AAL,6.0
2025-04-27,AAL,5.0
2025-05-04,AAL,5.0
2025-05-11,AAL,5.0
2025-05-18,AAL,4.0
2025-05-25,AAL,4.0
2025-06-01,AAL,4.0
2025-06-08,AAL,5.0
2025-06-15,AAL,4.0
2025-06-22,AAL,5.0
2025-06-29,AAL,4.0
2025-07-06,AAL,6.0
2025-07-13,AAL,5.0
2025-07-20,AAL,7.0
2025-07-27,AAL,6.0
2025-08-03,AAL,5.0
2025-08-10,AAL,5.0
2025-08-17,AAL,4.0
2025-08-24,AAL,4.0
2025-08-31,AAL,4.0
2025-09-07,AAL,4.0
2025-09-14,AAL,4.0
2025-09-21,AAL,4.0
2025-09-28,AAL,4.0
2025-10-05,AAL,4.0
2025-10-12,AAL,4.0
2025-10-19,AAL,2.0
2020-10-18,CLOV,0.0
2020-10-25,CLOV,0.0
2020-11-01,CLOV,0.0
2020-11-08,CLOV,0.0
2020-11-15,CLOV,0.0
2020-11-22,CLOV,0.0
2020-11-29,CLOV,0.0
2020-12-06,CLOV,0.0
2020-12-13,CLOV,0.0
2020-12-20,CLOV,0.0
2020-12-27,CLOV,0.0
2021-01-03,CLOV,3.0
2021-01-10,CLOV,8.0
2021-01-17,CLOV,4.0
2021-01-24,CLOV,10.0
2021-01-31,CLOV,14.0
2021-02-07,CLOV,11.0
2021-02-14,CLOV,6.0
2021-02-21,CLOV,7.0
2021-02-28,CLOV,10.0
2021-03-07,CLOV,5.0
2021-03-14,CLOV,3.0
2021-03-21,CLOV,2.0
2021-03-28,CLOV,2.0
2021-04-04,CLOV,5.0
2021-04-11,CLOV,7.0
2021-04-18,CLOV,16.0
2021-04-25,CLOV,13.0
2021-05-02,CLOV,8.0
2021-05-09,CLOV,5.0
2021-05-16,CLOV,6.0
2021-05-23,CLOV,5.0
2021-05-30,CLOV,11.0
2021-06-06,CLOV,100.0
2021-06-13,CLOV,24.0
2021-06-20,CLOV,25.0
2021-06-27,CLOV,18.0
2021-07-04,CLOV,15.0
2021-07-11,CLOV,15.0
2021-07-18,CLOV,14.0
2021-07-25,CLOV,10.0
2021-08-01,CLOV,9.0
2021-08-08,CLOV,18.0
2021-08-15,CLOV,12.0
2021-08-22,CLOV,12.0
2021-08-29,CLOV,9.0
2021-09-05,CLOV,20.0
2021-09-12,CLOV,9.0
2021-09-19,CLOV,7.0
2021-09-26,CLOV,6.0
2021-10-03,CLOV,7.0
2021-10-10,CLOV,8.0
2021-10-17,CLOV,5.0
2021-10-24,CLOV,4.0
2021-10-31,CLOV,5.0
2021-11-07,CLOV,7.0
2021-11-14,CLOV,8.0
2021-11-21,CLOV,5.0
2021-11-28,CLOV,6.0
2021-12-05,CLOV,4.0
2021-12-12,CLOV,3.0
2021-12-19,CLOV,3.0
2021-12-26,CLOV,3.0
2022-01-02,CLOV,4.0
2022-01-09,CLOV,4.0
2022-01-16,CLOV,3.0
2022-01-23,CLOV,3.0
2022-01-30,CLOV,4.0
2022-02-06,CLOV,3.0
2022-02-13,CLOV,3.0
2022-02-20,CLOV,5.0
2022-02-27,CLOV,4.0
2022-03-06,CLOV,6.0
2022-03-13,CLOV,4.0
2022-03-20,CLOV,4.0
2022-03-27,CLOV,3.0
2022-04-03,CLOV,3.0
2022-04-10,CLOV,2.0
2022-04-17,CLOV,3.0
2022-04-24,CLOV,2.0
2022-05-01,CLOV,2.0
2022-05-08,CLOV,3.0
2022-05-15,CLOV,2.0
2022-05-22,CLOV,2.0
2022-05-29,CLOV,2.0
2022-06-05,CLOV,2.0
2022-06-12,CLOV,2.0
2022-06-19,CLOV,2.0
2022-06-26,CLOV,2.0
2022-07-03,CLOV,2.0
2022-07-10,CLOV,2.0
2022-07-17,CLOV,2.0
2022-07-24,CLOV,2.0
2022-07-31,CLOV,3.0
2022-08-07,CLOV,4.0
2022-08-14,CLOV,2.0
2022-08-21,CLOV,2.0
2022-08-28,CLOV,1.0
2022-09-04,CLOV,1.0
2022-09-11,CLOV,1.0
2022-09-18,CLOV,1.0
2022-09-25,CLOV,1.0
2022-10-02,CLOV,1.0
2022-10-09,CLOV,1.0
2022-10-16,CLOV,1.0
2022-10-23,CLOV,1.0
2022-10-30,CLOV,1.0
2022-11-06,CLOV,2.0
2022-11-13,CLOV,1.0
2022-11-20,CLOV,1.0
2022-11-27,CLOV,1.0
2022-12-04,CLOV,1.0
2022-12-11,CLOV,1.0
2022-12-18,CLOV,2.0
2022-12-25,CLOV,1.0
2023-01-01,CLOV,1.0
2023-01-08,CLOV,2.0
2023-01-15,CLOV,1.0
2023-01-22,CLOV,1.0
2023-01-29,CLOV,1.0
2023-02-05,CLOV,1.0
2023-02-12,CLOV,1.0
2023-02-19,CLOV,1.0
2023-02-26,CLOV,2.0
2023-03-05,CLOV,1.0
2023-03-12,CLOV,1.0
2023-03-19,CLOV,1.0
2023-03-26,CLOV,1.0
2023-04-02,CLOV,1.0
2023-04-09,CLOV,1.0
2023-04-16,CLOV,1.0
2023-04-23,CLOV,1.0
2023-04-30,CLOV,1.0
2023-05-07,CLOV,2.0
2023-05-14,CLOV,1.0
2023-05-21,CLOV,1.0
2023-05-28,CLOV,1.0
2023-06-04,CLOV,1.0
2023-06-11,CLOV,1.0
2023-06-18,CLOV,1.0
2023-06-25,CLOV,1.0
2023-07-02,CLOV,1.0
2023-07-09,CLOV,1.0
2023-07-16,CLOV,2.0
2023-07-23,CLOV,2.0
2023-07-30,CLOV,2.0
2023-08-06,CLOV,2.0
2023-08-13,CLOV,2.0
2023-08-20,CLOV,1.0
2023-08-27,CLOV,1.0
2023-09-03,CLOV,1.0
2023-09-10,CLOV,1.0
2023-09-17,CLOV,1.0
2023-09-24,CLOV,1.0
2023-10-01,CLOV,1.0
2023-10-08,CLOV,1.0
2023-10-15,CLOV,1.0
2023-10-22,CLOV,1.0
2023-10-29,CLOV,1.0
2023-11-05,CLOV,1.0
2023-11-12,CLOV,1.0
2023-11-19,CLOV,1.0
2023-11-26,CLOV,1.0
2023-12-03,CLOV,1.0
2023-12-10,CLOV,1.0
2023-12-17,CLOV,1.0
2023-12-24,CLOV,1.0
2023-12-31,CLOV,1.0
2024-01-07,CLOV,1.0
2024-01-14,CLOV,1.0
2024-01-21,CLOV,1.0
2024-01-28,CLOV,1.0
2024-02-04,CLOV,1.0
2024-02-11,CLOV,1.0
2024-02-18,CLOV,1.0
2024-02-25,CLOV,1.0
2024-03-03,CLOV,1.0
2024-03-10,CLOV,2.0
2024-03-17,CLOV,1.0
2024-03-24,CLOV,1.0
2024-03-31,CLOV,1.0
2024-04-07,CLOV,1.0
2024-04-14,CLOV,1.0
2024-04-21,CLOV,1.0
2024-04-28,CLOV,1.0
2024-05-05,CLOV,2.0
2024-05-12,CLOV,2.0
2024-05-19,CLOV,2.0
2024-05-26,CLOV,2.0
2024-06-02,CLOV,2.0
2024-06-09,CLOV,2.0
2024-06-16,CLOV,2.0
2024-06-23,CLOV,2.0
2024-06-30,CLOV,1.0
2024-07-07,CLOV,2.0
2024-07-14,CLOV,2.0
2024-07-21,CLOV,1.0
2024-07-28,CLOV,2.0
2024-08-04,CLOV,3.0
2024-08-11,CLOV,4.0
2024-08-18,CLOV,6.0
2024-08-25,CLOV,3.0
2024-09-01,CLOV,3.0
2024-09-08,CLOV,2.0
2024-09-15,CLOV,2.0
2024-09-22,CLOV,2.0
2024-09-29,CLOV,4.0
2024-10-06,CLOV,3.0
2024-10-13,CLOV,3.0
2024-10-20,CLOV,3.0
2024-10-27,CLOV,2.0
2024-11-03,CLOV,3.0
2024-11-10,CLOV,3.0
2024-11-17,CLOV,2.0
2024-11-24,CLOV,2.0
2024-12-01,CLOV,2.0
2024-12-08,CLOV,1.0
2024-12-15,CLOV,2.0
2024-12-22,CLOV,1.0
2024-12-29,CLOV,2.0
2025-01-05,CLOV,2.0
2025-01-12,CLOV,2.0
2025-01-19,CLOV,3.0
2025-01-26,CLOV,3.0
2025-02-02,CLOV,2.0
2025-02-09,CLOV,2.0
2025-02-16,CLOV,2.0
2025-02-23,CLOV,2.0
2025-03-02,CLOV,2.0
2025-03-09,CLOV,2.0
2025-03-16,CLOV,1.0
2025-03-23,CLOV,1.0
2025-03-30,CLOV,1.0
2025-04-06,CLOV,2.0
2025-04-13,CLOV,1.0
2025-04-20,CLOV,1.0
2025-04-27,CLOV,1.0
2025-05-04,CLOV,2.0
2025-05-11,CLOV,2.0
2025-05-18,CLOV,2.0
2025-05-25,CLOV,1.0
2025-06-01,CLOV,1.0
2025-06-08,CLOV,1.0
2025-06-15,CLOV,1.0
2025-06-22,CLOV,1.0
2025-06-29,CLOV,1.0
2025-07-06,CLOV,2.0
2025-07-13,CLOV,2.0
2025-07-20,CLOV,3.0
2025-07-27,CLOV,2.0
2025-08-03,CLOV,3.0
2025-08-10,CLOV,2.0
2025-08-17,CLOV,2.0
2025-08-24,CLOV,1.0
2025-08-31,CLOV,1.0
2025-09-07,CLOV,2.0
2025-09-14,CLOV,2.0
2025-09-21,CLOV,1.0
2025-09-28,CLOV,2.0
2025-10-05,CLOV,1.0
2025-10-12,CLOV,1.0
2025-10-19,CLOV,0.0
2020-10-18,INO,14.0
2020-10-25,INO,14.0
2020-11-01,INO,11.0
2020-11-08,INO,20.0
2020-11-15,INO,16.0
2020-11-22,INO,14.0
2020-11-29,INO,18.0
2020-12-06,INO,15.0
2020-12-13,INO,14.0
2020-12-20,INO,14.0
2020-12-27,INO,15.0
2021-01-03,INO,15.0
2021-01-10,INO,13.0
2021-01-17,INO,13.0
2021-01-24,INO,17.0
2021-01-31,INO,22.0
2021-02-07,INO,17.0
2021-02-14,INO,14.0
2021-02-21,INO,15.0
2021-02-28,INO,15.0
2021-03-07,INO,12.0
2021-03-14,INO,12.0
2021-03-21,INO,12.0
2021-03-28,INO,11.0
2021-04-04,INO,11.0
2021-04-11,INO,12.0
2021-04-18,INO,12.0
2021-04-25,INO,12.0
2021-05-02,INO,11.0
2021-05-09,INO,13.0
2021-05-16,INO,11.0
2021-05-23,INO,10.0
2021-05-30,INO,11.0
2021-06-06,INO,13.0
2021-06-13,INO,11.0
2021-06-20,INO,11.0
2021-06-27,INO,11.0
2021-07-04,INO,10.0
2021-07-11,INO,10.0
2021-07-18,INO,10.0
2021-07-25,INO,9.0
2021-08-01,INO,11.0
2021-08-08,INO,12.0
2021-08-15,INO,10.0
2021-08-22,INO,10.0
2021-08-29,INO,9.0
2021-09-05,INO,9.0
2021-09-12,INO,9.0
2021-09-19,INO,9.0
2021-09-26,INO,9.0
2021-10-03,INO,9.0
2021-10-10,INO,9.0
2021-10-17,INO,8.0
2021-10-24,INO,9.0
2021-10-31,INO,9.0
2021-11-07,INO,9.0
2021-11-14,INO,9.0
2021-11-21,INO,10.0
2021-11-28,INO,9.0
2021-12-05,INO,8.0
2021-12-12,INO,7.0
2021-12-19,INO,8.0
2021-12-26,INO,8.0
2022-01-02,INO,7.0
2022-01-09,INO,7.0
2022-01-16,INO,6.0
2022-01-23,INO,7.0
2022-01-30,INO,7.0
2022-02-06,INO,7.0
2022-02-13,INO,6.0
2022-02-20,INO,6.0
2022-02-27,INO,6.0
2022-03-06,INO,6.0
2022-03-13,INO,7.0
2022-03-20,INO,7.0
2022-03-27,INO,6.0
2022-04-03,INO,7.0
2022-04-10,INO,7.0
2022-04-17,INO,7.0
2022-04-24,INO,6.0
2022-05-01,INO,6.0
2022-05-08,INO,7.0
2022-05-15,INO,6.0
2022-05-22,INO,6.0
2022-05-29,INO,6.0
2022-06-05,INO,6.0
2022-06-12,INO,6.0
2022-06-19,INO,6.0
2022-06-26,INO,6.0
2022-07-03,INO,5.0
2022-07-10,INO,6.0
2022-07-17,INO,6.0
2022-07-24,INO,6.0
2022-07-31,INO,6.0
2022-08-07,INO,6.0
2022-08-14,INO,6.0
2022-08-21,INO,6.0
2022-08-28,INO,5.0
2022-09-04,INO,5.0
2022-09-11,INO,5.0
2022-09-18,INO,5.0
2022-09-25,INO,5.0
2022-10-02,INO,5.0
2022-10-09,INO,6.0
2022-10-16,INO,6.0
2022-10-23,INO,5.0
2022-10-30,INO,5.0
2022-11-06,INO,4.0
2022-11-13,INO,5.0
2022-11-20,INO,4.0
2022-11-27,INO,4.0
2022-12-04,INO,5.0
2022-12-11,INO,4.0
2022-12-18,INO,5.0
2022-12-25,INO,5.0
2023-01-01,INO,5.0
2023-01-08,INO,5.0
2023-01-15,INO,4.0
2023-01-22,INO,4.0
2023-01-29,INO,5.0
2023-02-05,INO,5.0
2023-02-12,INO,4.0
2023-02-19,INO,5.0
2023-02-26,INO,4.0
2023-03-05,INO,4.0
2023-03-12,INO,4.0
2023-03-19,INO,4.0
2023-03-26,INO,4.0
2023-04-02,INO,4.0
2023-04-09,INO,4.0
2023-04-16,INO,4.0
2023-04-23,INO,4.0
2023-04-30,INO,4.0
2023-05-07,INO,4.0
2023-05-14,INO,4.0
2023-05-21,INO,4.0
2023-05-28,INO,4.0
2023-06-04,INO,4.0
2023-06-11,INO,4.0
2023-06-18,INO,4.0
2023-06-25,INO,4.0
2023-07-02,INO,4.0
2023-07-09,INO,4.0
2023-07-16,INO,4.0
2023-07-23,INO,4.0
2023-07-30,INO,4.0
2023-08-06,INO,4.0
2023-08-13,INO,4.0
2023-08-20,INO,4.0
2023-08-27,INO,4.0
2023-09-03,INO,4.0
2023-09-10,INO,4.0
2023-09-17,INO,4.0
2023-09-24,INO,4.0
2023-10-01,INO,6.0
2023-10-08,INO,6.0
2023-10-15,INO,4.0
2023-10-22,INO,4.0
2023-10-29,INO,4.0
2023-11-05,INO,4.0
2023-11-12,INO,4.0
2023-11-19,INO,4.0
2023-11-26,INO,4.0
2023-12-03,INO,4.0
2023-12-10,INO,5.0
2023-12-17,INO,6.0
2023-12-24,INO,6.0
2023-12-31,INO,6.0
2024-01-07,INO,6.0
2024-01-14,INO,5.0
2024-01-21,INO,5.0
2024-01-28,INO,4.0
2024-02-04,INO,4.0
2024-02-11,INO,4.0
2024-02-18,INO,4.0
2024-02-25,INO,4.0
2024-03-03,INO,5.0
2024-03-10,INO,5.0
2024-03-17,INO,5.0
2024-03-24,INO,4.0
2024-03-31,INO,4.0
2024-04-07,INO,4.0
2024-04-14,INO,5.0
2024-04-21,INO,5.0
2024-04-28,INO,4.0
2024-05-05,INO,4.0
2024-05-12,INO,4.0
2024-05-19,INO,5.0
2024-05-26,INO,4.0
2024-06-02,INO,5.0
2024-06-09,INO,5.0
2024-06-16,INO,5.0
2024-06-23,INO,4.0
2024-06-30,INO,4.0
2024-07-07,INO,5.0
2024-07-14,INO,4.0
2024-07-21,INO,4.0
2024-07-28,INO,4.0
2024-08-04,INO,5.0
2024-08-11,INO,4.0
2024-08-18,INO,4.0
2024-08-25,INO,4.0
2024-09-01,INO,4.0
2024-09-08,INO,4.0
2024-09-15,INO,4.0
2024-09-22,INO,4.0
2024-09-29,INO,4.0
2024-10-06,INO,4.0
2024-10-13,INO,4.0
2024-10-20,INO,4.0
2024-10-27,INO,4.0
2024-11-03,INO,4.0
2024-11-10,INO,4.0
2024-11-17,INO,4.0
2024-11-24,INO,4.0
2024-12-01,INO,4.0
2024-12-08,INO,4.0
2024-12-15,INO,4.0
2024-12-22,INO,4.0
2024-12-29,INO,4.0
2025-01-05,INO,4.0
2025-01-12,INO,4.0
2025-01-19,INO,4.0
2025-01-26,INO,4.0
2025-02-02,INO,4.0
2025-02-09,INO,4.0
2025-02-16,INO,4.0
2025-02-23,INO,4.0
2025-03-02,INO,4.0
2025-03-09,INO,4.0
2025-03-16,INO,4.0
2025-03-23,INO,4.0
2025-03-30,INO,4.0
2025-04-06,INO,4.0
2025-04-13,INO,5.0
2025-04-20,INO,4.0
2025-04-27,INO,4.0
2025-05-04,INO,4.0
2025-05-11,INO,4.0
2025-05-18,INO,4.0
2025-05-25,INO,4.0
2025-06-01,INO,4.0
2025-06-08,INO,4.0
2025-06-15,INO,4.0
2025-06-22,INO,4.0
2025-06-29,INO,4.0
2025-07-06,INO,4.0
2025-07-13,INO,5.0
2025-07-20,INO,5.0
2025-07-27,INO,5.0
2025-08-03,INO,4.0
2025-08-10,INO,4.0
2025-08-17,INO,4.0
2025-08-24,INO,4.0
2025-08-31,INO,4.0
2025-09-07,INO,4.0
2025-09-14,INO,4.0
2025-09-21,INO,4.0
2025-09-28,INO,4.0
2025-10-05,INO,4.0
2025-10-12,INO,4.0
2025-10-19,INO,4.0
2020-10-18,NVAX,11.0
2020-10-25,NVAX,10.0
2020-11-01,NVAX,7.0
2020-11-08,NVAX,12.0
2020-11-15,NVAX,11.0
2020-11-22,NVAX,11.0
2020-11-29,NVAX,17.0
2020-12-06,NVAX,12.0
2020-12-13,NVAX,13.0
2020-12-20,NVAX,9.0
2020-12-27,NVAX,9.0
2021-01-03,NVAX,10.0
2021-01-10,NVAX,9.0
2021-01-17,NVAX,8.0
2021-01-24,NVAX,18.0
2021-01-31,NVAX,19.0
2021-02-07,NVAX,15.0
2021-02-14,NVAX,12.0
2021-02-21,NVAX,12.0
2021-02-28,NVAX,14.0
2021-03-07,NVAX,14.0
2021-03-14,NVAX,11.0
2021-03-21,NVAX,11.0
2021-03-28,NVAX,9.0
2021-04-04,NVAX,9.0
2021-04-11,NVAX,11.0
2021-04-18,NVAX,9.0
2021-04-25,NVAX,11.0
2021-05-02,NVAX,14.0
2021-05-09,NVAX,12.0
2021-05-16,NVAX,8.0
2021-05-23,NVAX,7.0
2021-05-30,NVAX,9.0
2021-06-06,NVAX,11.0
2021-06-13,NVAX,13.0
2021-06-20,NVAX,9.0
2021-06-27,NVAX,9.0
2021-07-04,NVAX,8.0
2021-07-11,NVAX,7.0
2021-07-18,NVAX,10.0
2021-07-25,NVAX,9.0
2021-08-01,NVAX,15.0
2021-08-08,NVAX,16.0
2021-08-15,NVAX,12.0
2021-08-22,NVAX,11.0
2021-08-29,NVAX,10.0
2021-09-05,NVAX,10.0
2021-09-12,NVAX,9.0
2021-09-19,NVAX,9.0
2021-09-26,NVAX,11.0
2021-10-03,NVAX,10.0
2021-10-10,NVAX,8.0
2021-10-17,NVAX,13.0
2021-10-24,NVAX,10.0
2021-10-31,NVAX,15.0
2021-11-07,NVAX,10.0
2021-11-14,NVAX,10.0
2021-11-21,NVAX,9.0
2021-11-28,NVAX,14.0
2021-12-05,NVAX,12.0
2021-12-12,NVAX,12.0
2021-12-19,NVAX,14.0
2021-12-26,NVAX,14.0
2022-01-02,NVAX,11.0
2022-01-09,NVAX,10.0
2022-01-16,NVAX,9.0
2022-01-23,NVAX,9.0
2022-01-30,NVAX,9.0
2022-02-06,NVAX,9.0
2022-02-13,NVAX,8.0
2022-02-20,NVAX,6.0
2022-02-27,NVAX,8.0
2022-03-06,NVAX,6.0
2022-03-13,NVAX,6.0
2022-03-20,NVAX,5.0
2022-03-27,NVAX,5.0
2022-04-03,NVAX,5.0
2022-04-10,NVAX,4.0
2022-04-17,NVAX,5.0
2022-04-24,NVAX,4.0
2022-05-01,NVAX,5.0
2022-05-08,NVAX,6.0
2022-05-15,NVAX,5.0
2022-05-22,NVAX,4.0
2022-05-29,NVAX,5.0
2022-06-05,NVAX,13.0
2022-06-12,NVAX,6.0
2022-06-19,NVAX,5.0
2022-06-26,NVAX,6.0
2022-07-03,NVAX,7.0
2022-07-10,NVAX,10.0
2022-07-17,NVAX,7.0
2022-07-24,NVAX,5.0
2022-07-31,NVAX,5.0
2022-08-07,NVAX,8.0
2022-08-14,NVAX,4.0
2022-08-21,NVAX,4.0
2022-08-28,NVAX,4.0
2022-09-04,NVAX,3.0
2022-09-11,NVAX,3.0
2022-09-18,NVAX,3.0
2022-09-25,NVAX,3.0
2022-10-02,NVAX,3.0
2022-10-09,NVAX,3.0
2022-10-16,NVAX,3.0
2022-10-23,NVAX,3.0
2022-10-30,NVAX,3.0
2022-11-06,NVAX,3.0
2022-11-13,NVAX,3.0
2022-11-20,NVAX,2.0
2022-11-27,NVAX,2.0
2022-12-04,NVAX,2.0
2022-12-11,NVAX,4.0
2022-12-18,NVAX,3.0
2022-12-25,NVAX,3.0
2023-01-01,NVAX,2.0
2023-01-08,NVAX,3.0
2023-01-15,NVAX,2.0
2023-01-22,NVAX,2.0
2023-01-29,NVAX,2.0
2023-02-05,NVAX,2.0
2023-02-12,NVAX,2.0
2023-02-19,NVAX,2.0
2023-02-26,NVAX,4.0
2023-03-05,NVAX,2.0
2023-03-12,NVAX,2.0
2023-03-19,NVAX,2.0
2023-03-26,NVAX,2.0
2023-04-02,NVAX,2.0
2023-04-09,NVAX,2.0
2023-04-16,NVAX,2.0
2023-04-23,NVAX,2.0
2023-04-30,NVAX,2.0
2023-05-07,NVAX,3.0
2023-05-14,NVAX,2.0
2023-05-21,NVAX,2.0
2023-05-28,NVAX,2.0
