accountingYearMonthNumber,symbolCode,issueName,issuerServicesGroupExchangeCode,marketClassCode,currentShortPositionQuantity,previousShortPositionQuantity,stockSplitFlag,averageDailyVolumeQuantity,daysToCoverQuantity,revisionFlag,changePercent,changePreviousNumber,settlementDate,date
20220513,IPOF,Social Capital Hedosophia Hold,A,NYSE,1326852,1163726,,2110531,1.0,,14.02,163126,2022-05-13,2022-05-13
20220513,JAGX,"Jaguar Health, Inc. Common Sto",R,SC,3785986,3447089,,892889,4.24,,9.83,338897,2022-05-13,2022-05-13
20220513,KOSS,Koss Corporation Common Stock,R,SC,227009,321932,,143991,1.58,,-29.49,-94923,2022-05-13,2022-05-13
20220513,MRNA,"Moderna, Inc. Common Stock",R,NNM,17062779,15428842,,7861345,2.17,,10.59,1633937,2022-05-13,2022-05-13
20220513,NCTY,The9 Limited American Deposito,R,SC,349498,517207,,360680,1.0,,-32.43,-167709,2022-05-13,2022-05-13
20220513,NOK,Nokia Corporation,A,NYSE,26954691,33560759,,41866545,1.0,,-19.68,-6606068,2022-05-13,2022-05-13
20220513,NVAX,"Novavax, Inc. Common Stock",R,NNM,14289678,12173090,,7165897,1.99,,17.39,2116588,2022-05-13,2022-05-13
20220513,OPEN,Opendoor Technologies Inc Comm,R,NNM,104669489,87106692,,27555502,3.8,,20.16,17562797,2022-05-13,2022-05-13
20220513,RKT,"Rocket Companies, Inc.",A,NYSE,29226012,28992976,,6360878,4.59,,0.8,233036,2022-05-13,2022-05-13
20220513,RLX,RLX Technology Inc. American D,A,NYSE,33233806,34179226,,5474507,6.07,,-2.77,-945420,2022-05-13,2022-05-13
20220513,RYCEY,Rolls Royce Holdings plc Spons,S,OTC,626532,1686093,,9850237,1.0,,-62.84,-1059561,2022-05-13,2022-05-13
20220513,SBUX,Starbucks Corporation Common S,R,NNM,12565867,12843595,,16064186,1.0,,-2.16,-277728,2022-05-13,2022-05-13
20220513,SHLS,"Shoals Technologies Group, Inc",R,NNM,10873021,13090336,,3045331,3.57,,-16.94,-2217315,2022-05-13,2022-05-13
20220513,SIEB,Siebert Financial Corp. Common,R,SC,78255,71602,,38153,2.05,,9.29,6653,2022-05-13,2022-05-13
20220513,SLV,iShares Silver Trust,E,ARCA,36533201,36895776,,39147716,1.0,,-0.98,-362575,2022-05-13,2022-05-13
20220513,SNDL,Sundial Growers Inc. Common Sh,R,SC,221635306,199515861,,80044349,2.77,,11.09,22119445,2022-05-13,2022-05-13
20220513,SOXL,Direxion Daily Semiconductor B,E,ARCA,2404337,1885952,,69348755,1.0,,27.49,518385,2022-05-13,2022-05-13
20220513,SRNE,"Sorrento Therapeutics, Inc.  C",R,SC,52974930,54656185,,10514651,5.04,,-3.08,-1681255,2022-05-13,2022-05-13
20220513,TIRX,TIAN RUIXIANG Holdings Ltd Cla,R,SC,96937,167015,,61999,1.56,,-41.96,-70078,2022-05-13,2022-05-13
20220513,TR,"Tootsie Roll Industries, Inc.",A,NYSE,1699743,1735779,,124212,13.68,,-2.08,-36036,2022-05-13,2022-05-13
20220513,TRVG,trivago N.V. American Deposita,R,NNM,603821,499477,,909806,1.0,,20.89,104344,2022-05-13,2022-05-13
20220513,WKHS,"Workhorse Group, Inc. Common S",R,SC,39812622,39708070,,6223653,6.4,,0.26,104552,2022-05-13,2022-05-13
20220513,XM,Qualtrics International Inc. C,R,NNM,3689573,3044944,,2526862,1.46,,21.17,644629,2022-05-13,2022-05-13
20220513,ZOM,Zomedica Corp.,B,AMEX,112636483,91277017,,25325219,4.45,,23.4,21359466,2022-05-13,2022-05-13
20220429,AAL,American Airlines Group Inc. C,R,NNM,82687055,92187959,,39014704,2.12,,-10.31,-9500904,2022-04-29,2022-04-29
20220429,ACB,Aurora Cannabis Inc. Common Sh,R,NNM,28004254,26655776,,5302552,5.28,,5.06,1348478,2022-04-29,2022-04-29
20220429,AG,FIRST MAJESTIC SILVER CORP,A,NYSE,15159526,13752921,,6390907,2.37,,10.23,1406605,2022-04-29,2022-04-29
20220429,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,100632363,99746843,,26133873,3.85,,0.89,885520,2022-04-29,2022-04-29
20220429,AMD,"Advanced Micro Devices, Inc. C",R,NNM,30359092,27423971,,81138683,1.0,,10.7,2935121,2022-04-29,2022-04-29
20220429,BB,BlackBerry Limited,A,NYSE,41253654,37289297,,5865991,7.03,,10.63,3964357,2022-04-29,2022-04-29
20220429,BBBY,Bed Bath & Beyond Inc. Common,R,NNM,20402977,15270205,,5136996,3.97,,33.61,5132772,2022-04-29,2022-04-29
20220429,BYDDY,BYD Company Ltd Unsponsored AD,S,OTC,8974,7714,,288905,1.0,,16.33,1260,2022-04-29,2022-04-29
20220429,BYND,"Beyond Meat, Inc. Common Stock",R,NNM,23089925,21628582,,4041733,5.71,,6.76,1461343,2022-04-29,2022-04-29
20220429,CLOV,"Clover Health Investments, Cor",R,NNM,29413470,29153432,,6070765,4.85,,0.89,260038,2022-04-29,2022-04-29
20220429,CRIS,"Curis, Inc. Common Stock",R,NNM,4885706,4373335,,1555597,3.14,,11.72,512371,2022-04-29,2022-04-29
20220429,CTRM,Castor Maritime Inc. Common Sh,R,SC,2072842,2611266,,2473995,1.0,,-20.62,-538424,2022-04-29,2022-04-29
20220429,EXPR,"Express, Inc.",A,NYSE,3558590,3565173,,1669900,2.13,,-0.18,-6583,2022-04-29,2022-04-29
20220429,EZGO,EZGO Technologies Ltd. Ordinar,R,SC,183606,240731,,26013,7.06,,-23.73,-57125,2022-04-29,2022-04-29
20220429,GM,General Motors Company,A,NYSE,31818494,28947332,,16864799,1.89,,9.92,2871162,2022-04-29,2022-04-29
