date,ticker,marketCap
2023-05-01,ACEL,783412560.0
2024-04-30,ACEL,916092690.0
2025-04-30,ACEL,862594100.0
2020-07-31,ACGL,12387652413.0
2021-04-30,ACGL,15794390493.0
2022-04-29,ACGL,16861364000.0
2023-05-01,ACGL,27984330000.0
2024-04-30,ACGL,34693986000.0
2025-04-30,ACGL,35169135059.0
2020-07-31,ACHC,2620626910.0
2021-04-30,ACHC,5412254640.0
2022-04-29,ACHC,6090465120.0
2023-05-01,ACHC,6419512440.0
2024-04-30,ACHC,6774974320.0
2025-04-30,ACHC,2144703599.0
2021-04-30,ACHR,2391897526.0
2022-04-29,ACHR,1097466889.0
2023-05-01,ACHR,509567782.0
2024-04-30,ACHR,1296200248.0
2025-04-30,ACHR,3311350579.0
2020-07-31,ACHV,44832504.0
2021-04-30,ACHV,79744574.0
2022-04-29,ACHV,66858741.0
2023-05-01,ACHV,163627705.0
2024-04-30,ACHV,150659132.0
2025-04-30,ACHV,89728043.0
2020-07-31,ACI,7092678000.0
2021-04-30,ACI,8636907000.0
2022-04-29,ACI,16056024000.0
2023-05-01,ACI,12053437000.0
2024-04-30,ACI,11803440000.0
2025-04-30,ACI,12594540000.0
2020-07-31,ACIW,3122588820.0
2021-04-30,ACIW,4447386040.0
2022-04-29,ACIW,3167157780.0
2023-05-01,ACIW,2747165150.0
2024-04-30,ACIW,3641845900.0
2025-04-30,ACIW,5608349440.0
2020-07-31,ACLS,984893340.0
2021-04-30,ACLS,1398605810.0
2022-04-29,ACLS,1802077200.0
2023-05-01,ACLS,4034274750.0
2024-04-30,ACLS,3378685656.0
2025-04-30,ACLS,1588127520.0
2022-04-29,ACLX,400144807.0
2023-05-01,ACLX,2108028056.0
2024-04-30,ACLX,2676915688.0
2025-04-30,ACLX,3487426793.0
2020-07-31,ACM,5791123800.0
2021-04-30,ACM,9706020870.0
2022-04-29,ACM,9921300480.0
2023-05-01,ACM,11600135010.0
2024-04-30,ACM,12561514160.0
2025-04-30,ACM,13071125000.0
2020-07-31,ACMR,1746294411.0
2021-04-30,ACMR,1510004114.0
2022-04-29,ACMR,989382809.0
2023-05-01,ACMR,559448711.0
2024-04-30,ACMR,1586791976.0
2025-04-30,ACMR,1222604222.0
2020-07-31,ACN,142934846646.0
2021-04-30,ACN,184190032257.0
2022-04-29,ACN,190052622399.0
2023-05-01,ACN,176463554966.0
2024-04-30,ACN,189077781572.0
2025-04-30,ACN,186772507600.0
2020-07-31,ACNB,179109254.0
2021-04-30,ACNB,239691732.0
2022-04-29,ACNB,298006174.0
2023-05-01,ACNB,249154630.0
2024-04-30,ACNB,276663800.0
2025-04-30,ACNB,410981991.0
2020-07-31,ACRE,304370872.0
2021-04-30,ACRE,605295423.0
2022-04-29,ACRE,761977764.0
2023-05-01,ACRE,463581650.0
2024-04-30,ACRE,367417383.0
2025-04-30,ACRE,221807067.0
2022-04-29,ACT,3839814359.0
2023-05-01,ACT,3926480120.0
2024-04-30,ACT,4721659140.0
2025-04-30,ACT,5434031490.0
2020-07-31,ACTG,191932824.0
2021-04-30,ACTG,296272441.0
2022-04-29,ACTG,206306895.0
2023-05-01,ACTG,225457624.0
2024-04-30,ACTG,487388640.0
2025-04-30,ACTG,306570750.0
2021-04-30,ACVA,5253909927.0
2022-04-29,ACVA,2091994848.0
2023-05-01,ACVA,2147978072.0
2024-04-30,ACVA,2812494484.0
2025-04-30,ACVA,2445660433.0
2020-07-31,ADBE,213273600000.0
2021-04-30,ADBE,242986520000.0
2022-04-29,ADBE,186888400000.0
2023-05-01,ADBE,171360700000.0
2024-04-30,ADBE,207810670000.0
2025-04-30,ADBE,161991360000.0
2020-07-31,ADC,3597759393.0
2021-04-30,ADC,4561859834.0
2022-04-29,ADC,5096575526.0
2023-05-01,ADC,6272761376.0
2024-04-30,ADC,5738284125.0
2025-04-30,ADC,8308038508.0
2020-07-31,ADCT,3297514950.0
2021-04-30,ADCT,1882922641.0
2022-04-29,ADCT,905250862.0
2023-05-01,ADCT,159683408.0
2024-04-30,ADCT,421998390.0
2025-04-30,ADCT,150717248.0
2021-08-06,ADGI,1279883155.0
2022-04-29,ADGI,309357305.0
2020-07-31,ADI,42355646350.0
2021-04-30,ADI,56488930680.0
2022-04-29,ADI,80643480600.0
2023-05-01,ADI,91273285720.0
2024-04-30,ADI,99528639300.0
2025-04-30,ADI,96714041160.0
2020-07-31,ADM,24027630000.0
2021-04-30,ADM,35605320000.0
2022-04-29,ADM,50690960000.0
2023-05-01,ADM,42401000000.0
2024-04-30,ADM,29090571408.0
2025-04-30,ADM,22824500000.0
2020-07-31,ADMA,313082781.0
2021-04-30,ADMA,247029291.0
2022-04-29,ADMA,361289860.0
2023-05-01,ADMA,761577204.0
2024-04-30,ADMA,1515363045.0
2025-04-30,ADMA,5627123464.0
2020-07-31,ADNT,1560832000.0
2021-04-30,ADNT,4365228000.0
2022-04-29,ADNT,3200625000.0
2023-05-01,ADNT,3463821000.0
2024-04-30,ADNT,2703235000.0
2025-04-30,ADNT,1067660000.0
2020-07-31,ADP,56965226000.0
2021-04-30,ADP,79152867000.0
2022-04-29,ADP,90719244000.0
2023-05-01,ADP,91189888000.0
2024-04-30,ADP,98908821000.0
2025-04-30,ADP,122314140000.0
2020-07-31,ADPT,5014764010.0
2021-04-30,ADPT,5838947587.0
2022-04-29,ADPT,1160485128.0
2023-05-01,ADPT,1061323043.0
2024-04-30,ADPT,381963320.0
2025-04-30,ADPT,1098075406.0
2020-07-31,ADSK,51920028000.0
2021-04-30,ADSK,64220200000.0
2022-04-29,ADSK,41073760000.0
2023-05-01,ADSK,42044580000.0
2024-04-30,ADSK,45975600000.0
2025-04-30,ADSK,58963750000.0
2020-07-31,ADT,6551460930.0
2021-04-30,ADT,7046482399.0
2022-04-29,ADT,6614044900.0
2023-05-01,ADT,6076091160.0
2024-04-30,ADT,5919147000.0
2025-04-30,ADT,6919447480.0
2020-07-31,ADTN,595625940.0
2021-04-30,ADTN,827993410.0
2022-04-29,ADTN,854248970.0
2023-05-01,ADTN,714697919.0
2024-04-30,ADTN,345205320.0
2025-04-30,ADTN,605837060.0
2020-07-31,ADUS,1505731380.0
2021-04-30,ADUS,1665080400.0
2022-04-29,ADUS,1355306680.0
2023-05-01,ADUS,1420657471.0
2024-04-30,ADUS,1544457450.0
2025-04-30,ADUS,1897373400.0
2020-07-31,ADV,2241250000.0
2021-04-30,ADV,4079531474.0
2022-04-29,ADV,1601646292.0
2023-05-01,ADV,424674085.0
2024-04-30,ADV,1382964534.0
2025-04-30,ADV,430247965.0
2020-07-31,ADVM,14902995899.0
2021-04-30,ADVM,3822702000.0
2022-04-29,ADVM,1059299999.0
2023-05-01,ADVM,81622080.0
2024-04-30,ADVM,202681440.0
2025-04-30,ADVM,32824939.0
2020-07-31,AEE,19827304000.0
2021-04-30,AEE,21727524000.0
2022-04-29,AEE,23986780000.0
2023-05-01,AEE,23536838000.0
2024-04-30,AEE,19701129000.0
2025-04-30,AEE,26794800000.0
2020-07-31,AEHR,47658399.0
2021-04-30,AEHR,53469339.0
2022-04-29,AEHR,216678282.0
2023-05-01,AEHR,737628750.0
2024-04-30,AEHR,345814680.0
2025-04-30,AEHR,253622489.0
2020-07-31,AEIS,2819570249.0
2021-04-30,AEIS,4234690590.0
2022-04-29,AEIS,2871030400.0
2023-05-01,AEIS,3286886040.0
2024-04-30,AEIS,3580486560.0
2025-04-30,AEIS,3662616000.0
2020-07-31,AEL,2337862450.0
2021-04-30,AEL,2936926739.0
2022-04-29,AEL,3490759680.0
2023-05-01,AEL,3006466459.0
2024-04-30,AEL,4436056600.0
2020-07-31,AEO,1663150000.0
2021-04-30,AEO,5782074490.0
2022-04-29,AEO,2545430600.0
2023-05-01,AEO,2582249380.0
2024-04-30,AEO,4791932240.0
2025-04-30,AEO,2005933409.0
2020-07-31,AEP,43107941859.0
2021-04-30,AEP,44347605134.0
2022-04-29,AEP,50905218246.0
2023-05-01,AEP,47703552691.0
2024-04-30,AEP,45501165140.0
2025-04-30,AEP,57430240084.0
2020-07-31,AERI,531132812.0
2021-04-30,AERI,791365847.0
2022-04-29,AERI,338182052.0
2020-07-31,AES,10127967788.0
2021-04-30,AES,18538127938.0
2022-04-29,AES,13537703684.0
2023-05-01,AES,15054000000.0
2024-04-30,AES,12662592585.0
2025-04-30,AES,7110000000.0
2023-05-01,AESI,1038370093.0
2024-04-30,AESI,2211360860.0
2025-04-30,AESI,1491222480.0
2020-07-31,AEVA,2101412915.0
2021-04-30,AEVA,2045703198.0
2022-04-29,AEVA,711386342.0
2023-05-01,AEVA,207731022.0
2024-04-30,AEVA,165344690.0
2025-04-30,AEVA,389273125.0
2020-07-31,AEYE,133801411.0
2021-04-30,AEYE,274132938.0
2022-04-29,AEYE,46979999.0
2023-05-01,AEYE,71601800.0
2024-04-30,AEYE,182660400.0
2025-04-30,AEYE,134431500.0
2021-04-30,AFCG,305755217.0
2022-04-29,AFCG,315649141.0
2023-05-01,AFCG,241979531.0
2024-04-30,AFCG,244064220.0
2025-04-30,AFCG,120105349.0
2020-07-31,AFG,5359914000.0
2021-04-30,AFG,10443100000.0
2022-04-29,AFG,11784648000.0
2023-05-01,AFG,10474959000.0
2024-04-30,AFG,10718225000.0
2025-04-30,AFG,10636686158.0
2020-07-31,AFL,25315097860.0
2021-04-30,AFL,36431626500.0
2022-04-29,AFL,36699696960.0
2023-05-01,AFL,42268207120.0
2024-04-30,AFL,47226531450.0
2025-04-30,AFL,60632463320.0
2021-04-30,AFRI,150508330.0
2022-04-29,AFRI,221701450.0
2023-05-01,AFRI,295940421.0
2024-04-30,AFRI,276050369.0
2025-04-30,AFRI,220679020.0
2021-04-30,AFRM,18843392703.0
2022-04-29,AFRM,8268682982.0
2023-05-01,AFRM,2993441082.0
2024-04-30,AFRM,9805382671.0
2025-04-30,AFRM,16036768939.0
2020-07-31,AGCO,4915687000.0
2021-04-30,AGCO,11016960000.0
2022-04-29,AGCO,9504040000.0
2023-05-01,AGCO,9334787000.0
2024-04-30,AGCO,8518574000.0
2025-04-30,AGCO,6328318000.0
2020-07-31,AGEN,11106153600.0
2021-04-30,AGEN,13775590800.0
2022-04-29,AGEN,10117758817.0
2023-05-01,AGEN,10611645800.0
2024-04-30,AGEN,246860159.0
2025-04-30,AGEN,65043415.0
2020-07-31,AGIO,3133608844.0
2021-04-30,AGIO,3407537316.0
2022-04-29,AGIO,1203948969.0
2023-05-01,AGIO,1287061209.0
2024-04-30,AGIO,1846082745.0
2025-04-30,AGIO,1705963499.0
2021-04-30,AGL,11900840850.0
2022-04-29,AGL,7238414030.0
2023-05-01,AGL,9971213400.0
2024-04-30,AGL,2249159000.0
2025-04-30,AGL,1755307440.0
2020-07-31,AGM,638780340.0
2021-04-30,AGM,1107082180.0
2022-04-29,AGM,1105834280.0
2023-05-01,AGM,1437430770.0
2024-04-30,AGM,2024908270.0
2025-04-30,AGM,1910395680.0
2020-07-31,AGNC,7523520000.0
2021-04-30,AGNC,9418646930.0
2022-04-29,AGNC,5777676000.0
2023-05-01,AGNC,5730516000.0
2024-04-30,AGNC,6771000000.0
2025-04-30,AGNC,8108589000.0
2020-07-31,AGO,1816255999.0
2021-04-30,AGO,3823920000.0
2022-04-29,AGO,3502770241.0
2023-05-01,AGO,3213376000.0
2024-04-30,AGO,4149470000.0
2025-04-30,AGO,4351408000.0
2020-07-31,AGR,15409560972.0
2021-04-30,AGR,17668468927.0
2022-04-29,AGR,17150145000.0
2023-05-01,AGR,15702014881.0
2024-04-30,AGR,14134050028.0
2020-07-31,AGS,120486860.0
2021-04-30,AGS,315935000.0
2022-04-29,AGS,244186800.0
2023-05-01,AGS,204751800.0
2024-04-30,AGS,350956840.0
2025-04-30,AGS,498470511.0
2021-04-30,AGTI,1891555120.0
2022-04-29,AGTI,2616668172.0
2023-05-01,AGTI,2212495559.0
2024-04-30,AGTI,1376991711.0
2020-07-31,AGX,672672000.0
2021-04-30,AGX,790815350.0
2022-04-29,AGX,548389800.0
2023-05-01,AGX,544295830.0
2024-04-30,AGX,802602940.0
2025-04-30,AGX,2082261740.0
2020-07-31,AGYS,490967040.0
2021-04-30,AGYS,1210545740.0
2022-04-29,AGYS,905452380.0
2023-05-01,AGYS,1967949120.0
2024-04-30,AGYS,2143354400.0
2025-04-30,AGYS,2057041449.0
2020-07-31,AHCO,1117035718.0
2021-04-30,AHCO,3768035840.0
2022-04-29,AHCO,1700643120.0
2023-05-01,AHCO,1577966250.0
2024-04-30,AHCO,1309202900.0
2025-04-30,AHCO,1145233250.0
2020-07-31,AHH,558380785.0
2021-04-30,AHH,823374670.0
2022-04-29,AHH,1196885050.0
2023-05-01,AHH,1050393242.0
2024-04-30,AHH,936836644.0
2025-04-30,AHH,684802160.0
2024-04-30,AHR,1792206323.0
2025-04-30,AHR,4961521542.0
2021-04-30,AI,6768790300.0
2022-04-29,AI,1797949759.0
2023-05-01,AI,2155137030.0
2024-04-30,AI,2815776870.0
2025-04-30,AI,2869707820.0
2020-07-31,AIG,27888305719.0
2021-04-30,AIG,41809003606.0
2022-04-29,AIG,46275401081.0
2023-05-01,AIG,38530309006.0
2024-04-30,AIG,49786911344.0
2025-04-30,AIG,58590650474.0
2024-04-30,AILE,648194808.0
2025-04-30,AILE,41819019.0
2020-07-31,AIMC,2211258000.0
2021-04-30,AIMC,3823848000.0
2022-04-29,AIMC,2538900000.0
2023-03-27,AIMC,4065888000.0
2020-07-31,AIN,1554762960.0
2021-04-30,AIN,2889145000.0
2022-04-29,AIN,2445782960.0
2023-05-01,AIN,2840886620.0
2024-04-30,AIN,2491549500.0
2025-04-30,AIN,2026920480.0
2022-04-29,AIP,380324508.0
2023-05-01,AIP,135713104.0
2024-04-30,AIP,250011054.0
2025-04-30,AIP,267446945.0
2020-07-31,AIR,600978000.0
2021-04-30,AIR,1408400000.0
2022-04-29,AIR,1648998000.0
2023-05-01,AIR,1878107380.0
2024-04-30,AIR,2426814000.0
2025-04-30,AIR,1892484000.0
2021-04-30,AIRC,6783787500.0
2022-04-29,AIRC,7666930590.0
2023-05-01,AIRC,5530597119.0
2024-04-30,AIRC,5621864020.0
2022-04-29,AIRS,582552412.0
2023-05-01,AIRS,280362280.0
2024-04-30,AIRS,314799276.0
2025-04-30,AIRS,127025181.0
2021-05-10,AISP,406617327.0
2022-04-29,AISP,406202411.0
2023-05-01,AISP,116922695.0
2024-04-30,AISP,170904418.0
2025-04-30,AISP,95639364.0
2020-07-31,AIT,2444132640.0
2021-04-30,AIT,3701276720.0
2022-04-29,AIT,4027843060.0
2023-05-01,AIT,5124459600.0
2024-04-30,AIT,7067586000.0
2025-04-30,AIT,9337816240.0
2020-07-31,AIV,5785587729.0
2021-04-30,AIV,1035212040.0
2022-04-29,AIV,942480000.0
2023-05-01,AIV,1149234150.0
2024-04-30,AIV,1129624000.0
2025-04-30,AIV,1080972690.0
2020-07-31,AIZ,6468630369.0
2021-04-30,AIZ,9490138760.0
2022-04-29,AIZ,9931979543.0
2023-05-01,AIZ,6613397433.0
2024-04-30,AIZ,9156126788.0
2025-04-30,AIZ,9883980698.0
2020-07-31,AJG,20627331000.0
2021-04-30,AJG,29178434999.0
2022-04-29,AJG,35416598000.0
2023-05-01,AJG,45240748000.0
2024-04-30,AJG,51045075000.0
2025-04-30,AJG,72612233250.0
2020-07-31,AJRD,3201000000.0
2021-04-30,AJRD,3723584000.0
2022-04-29,AJRD,3210393999.0
2023-05-01,AJRD,4536175000.0
2022-04-29,AKA,454160156.0
2023-05-01,AKA,44552655.0
2024-04-30,AKA,152370337.0
2025-04-30,AKA,80875062.0
2020-07-31,AKAM,18300397080.0
2021-04-30,AKAM,17726143800.0
2022-04-29,AKAM,17969066640.0
2023-05-01,AKAM,12247234560.0
2024-04-30,AKAM,15368106450.0
2025-04-30,AKAM,12010610160.0
2020-07-31,AKBA,1600825522.0
2021-04-30,AKBA,514642668.0
2022-04-29,AKBA,76193072.0
2023-05-01,AKBA,163091617.0
2024-04-30,AKBA,239278239.0
2025-04-30,AKBA,527064609.0
2020-07-31,AKR,1039160359.0
2021-04-30,AKR,1813762656.0
2022-04-29,AKR,1986244630.0
2023-05-01,AKR,1285056374.0
2024-04-30,AKR,1764771840.0
2025-04-30,AKR,2317383900.0
2020-07-31,AKRO,1193837219.0
2021-04-30,AKRO,1072290634.0
2022-04-29,AKRO,371174855.0
2023-05-01,AKRO,2330422680.0
2024-04-30,AKRO,1375602026.0
2025-04-30,AKRO,3218862306.0
2021-04-30,AKYA,672634758.0
2022-04-29,AKYA,353932034.0
2023-05-01,AKYA,284071600.0
2024-04-30,AKYA,188784331.0
2025-04-30,AKYA,59472272.0
2020-07-31,AL,2983273135.0
2021-04-30,AL,5331158735.0
2022-04-29,AL,4465764651.0
2023-05-01,AL,4461939335.0
2024-04-30,AL,5595351084.0
2025-04-30,AL,5207983095.0
2024-04-30,ALAB,13154788192.0
2025-04-30,ALAB,10442742450.0
2020-07-31,ALB,8772589560.0
2021-04-30,ALB,19643769530.0
2022-04-29,ALB,22583478280.0
2023-05-01,ALB,20799443640.0
2024-04-30,ALB,14139793680.0
2025-04-30,ALB,6885655650.0
2020-07-31,ALBO,443803320.0
2021-04-30,ALBO,616343978.0
2022-04-29,ALBO,623199918.0
2023-03-02,ALBO,867783702.0
2020-07-31,ALCO,226138740.0
2021-04-30,ALCO,225404370.0
2022-04-29,ALCO,300301900.0
2023-05-01,ALCO,180162450.0
2024-04-30,ALCO,212785840.0
2025-04-30,ALCO,217959980.0
2020-07-31,ALDX,243034362.0
2021-04-30,ALDX,682304540.0
2022-04-29,ALDX,178985577.0
2023-05-01,ALDX,592622553.0
2024-04-30,ALDX,234093086.0
2025-04-30,ALDX,158701284.0
2020-07-31,ALE,3077670000.0
2021-04-30,ALE,3672792000.0
2022-04-29,ALE,3328974000.0
2023-05-01,ALE,3622506000.0
2024-04-30,ALE,3416994000.0
2025-04-30,ALE,3785321999.0
2020-07-31,ALEC,1232646123.0
2021-04-30,ALEC,1555905702.0
2022-04-29,ALEC,790989926.0
2023-05-01,ALEC,557760795.0
2024-04-30,ALEC,428671487.0
2025-04-30,ALEC,117983299.0
2020-07-31,ALEX,855768000.0
2021-04-30,ALEX,1328924999.0
2022-04-29,ALEX,1541240000.0
2023-05-01,ALEX,1393920000.0
2024-04-30,ALEX,1195969050.0
2025-04-30,ALEX,1248693940.0
2020-07-31,ALG,1215460680.0
2021-04-30,ALG,1862154500.0
2022-04-29,ALG,1502107200.0
2023-05-01,ALG,2134097420.0
2024-04-30,ALG,2321674720.0
2025-04-30,ALG,2000253419.0
2021-04-30,ALGM,4678967203.0
2022-04-29,ALGM,4634413061.0
2023-05-01,ALGM,7044382037.0
2024-04-30,ALGM,5721991622.0
2025-04-30,ALGM,3509093374.0
2020-07-31,ALGN,23160067680.0
2021-04-30,ALGN,47051634240.0
2022-04-29,ALGN,22727494450.0
2023-05-01,ALGN,24283360920.0
2024-04-30,ALGN,21230457920.0
2025-04-30,ALGN,12748294600.0
2020-07-31,ALGT,1793152180.0
2021-04-30,ALGT,4022496720.0
2022-04-29,ALGT,2791402530.0
2023-05-01,ALGT,1732522770.0
2024-04-30,ALGT,972695680.0
2025-04-30,ALGT,843989120.0
2021-04-30,ALHC,4693389917.0
2022-04-29,ALHC,1741933970.0
2023-05-01,ALHC,1274041501.0
2024-04-30,ALHC,983092703.0
2025-04-30,ALHC,3430706081.0
2020-07-31,ALIM,29753274.0
2021-04-30,ALIM,75283650.0
2022-04-29,ALIM,39408350.0
2023-05-01,ALIM,14325742.0
2024-04-30,ALIM,200276511.0
2020-07-31,ALIT,4593001313.0
2021-04-30,ALIT,4490239610.0
2022-04-29,ALIT,4496643601.0
2023-05-01,ALIT,4540235458.0
2024-04-30,ALIT,4926493088.0
2025-04-30,ALIT,2720041149.0
2020-07-31,ALK,4253191976.0
2021-04-30,ALK,8640909780.0
2022-04-29,ALK,6882673770.0
2023-05-01,ALK,5542365600.0
2024-04-30,ALK,5435017740.0
2025-04-30,ALK,5451142180.0
2020-07-31,ALKS,2864706620.0
2021-04-30,ALKS,3538778085.0
2022-04-29,ALKS,4726755150.0
2023-05-01,ALKS,4762230560.0
2024-04-30,ALKS,4130597340.0
2025-04-30,ALKS,4701219390.0
2021-04-30,ALKT,3568714807.0
2022-04-29,ALKT,1188266691.0
2023-05-01,ALKT,1106949838.0
2024-04-30,ALKT,2361351894.0
2025-04-30,ALKT,2733874662.0
2020-07-31,ALL,29374168000.0
2021-04-30,ALL,37887840000.0
2022-04-29,ALL,34631999933.0
2023-05-01,ALL,30424836000.0
2024-04-30,ALL,44912846000.0
2025-04-30,ALL,52434477000.0
2020-07-31,ALLE,9180158000.0
2021-04-30,ALLE,12094200000.0
2022-04-29,ALLE,10041696000.0
2023-05-01,ALLE,9728772000.0
2024-04-30,ALLE,10612188000.0
2025-04-30,ALLE,12012959999.0
2020-07-31,ALLO,4662251485.0
2021-04-30,ALLO,4168844810.0
2022-04-29,ALLO,1197265125.0
2023-05-01,ALLO,811780917.0
2024-04-30,ALLO,524473520.0
2025-04-30,ALLO,353761455.0
2020-07-31,ALLY,7550725800.0
2021-04-30,ALLY,19057697400.0
2022-04-29,ALLY,12869397720.0
2023-05-01,ALLY,7904894520.0
2024-04-30,ALLY,11764782900.0
2025-04-30,ALLY,10092135959.0
2020-07-31,ALNY,16906119359.0
2021-04-30,ALNY,16563454079.0
2022-04-29,ALNY,16131153280.0
2023-05-01,ALNY,25164912330.0
2024-04-30,ALNY,18157565100.0
2025-04-30,ALNY,34135910240.0
2020-07-31,ALPN,256187179.0
2021-04-30,ALPN,317266007.0
2022-04-29,ALPN,278989383.0
2023-05-01,ALPN,359894020.0
2024-04-30,ALPN,3897842247.0
2020-07-31,ALRM,3432474303.0
2021-04-30,ALRM,4470853057.0
2022-04-29,ALRM,3049827564.0
2023-05-01,ALRM,2362847154.0
2024-04-30,ALRM,3313861449.0
2025-04-30,ALRM,2661762117.0
2020-07-31,ALRS,331804980.0
2021-04-30,ALRS,494327500.0
2022-04-29,ALRS,441938350.0
2023-05-01,ALRS,287273220.0
2024-04-30,ALRS,388858300.0
2025-04-30,ALRS,418414360.0
2020-07-31,ALSN,4230470583.0
