date,ticker,trend
2020-10-11,AA,54
2020-10-18,AA,59
2020-10-25,AA,56
2020-11-01,AA,48
2020-11-08,AA,55
2020-11-15,AA,67
2020-11-22,AA,57
2020-11-29,AA,58
2020-12-06,AA,55
2020-12-13,AA,55
2020-12-20,AA,52
2020-12-27,AA,58
2021-01-03,AA,56
2021-01-10,AA,55
2021-01-17,AA,51
2021-01-24,AA,60
2021-01-31,AA,56
2021-02-07,AA,56
2021-02-14,AA,59
2021-02-21,AA,59
2021-02-28,AA,58
2021-03-07,AA,57
2021-03-14,AA,61
2021-03-21,AA,61
2021-03-28,AA,62
2021-04-04,AA,60
2021-04-11,AA,61
2021-04-18,AA,63
2021-04-25,AA,61
2021-05-02,AA,67
2021-05-09,AA,67
2021-05-16,AA,68
2021-05-23,AA,69
2021-05-30,AA,70
2021-06-06,AA,76
2021-06-13,AA,73
2021-06-20,AA,79
2021-06-27,AA,76
2021-07-04,AA,76
2021-07-11,AA,78
2021-07-18,AA,73
2021-07-25,AA,73
2021-08-01,AA,71
2021-08-08,AA,75
2021-08-15,AA,72
2021-08-22,AA,72
2021-08-29,AA,66
2021-09-05,AA,67
2021-09-12,AA,66
2021-09-19,AA,67
2021-09-26,AA,66
2021-10-03,AA,68
2021-10-10,AA,75
2021-10-17,AA,66
2021-10-24,AA,80
2021-10-31,AA,75
2021-11-07,AA,72
2021-11-14,AA,71
2021-11-21,AA,76
2021-11-28,AA,76
2021-12-05,AA,72
2021-12-12,AA,84
2021-12-19,AA,77
2021-12-26,AA,81
2022-01-02,AA,85
2022-01-09,AA,74
2022-01-16,AA,72
2022-01-23,AA,80
2022-01-30,AA,87
2022-02-06,AA,86
2022-02-13,AA,85
2022-02-20,AA,93
2022-02-27,AA,83
2022-03-06,AA,88
2022-03-13,AA,89
2022-03-20,AA,87
2022-03-27,AA,83
2022-04-03,AA,83
2022-04-10,AA,84
2022-04-17,AA,76
2022-04-24,AA,79
2022-05-01,AA,78
2022-05-08,AA,80
2022-05-15,AA,86
2022-05-22,AA,90
2022-05-29,AA,87
2022-06-05,AA,85
2022-06-12,AA,98
2022-06-19,AA,98
2022-06-26,AA,91
2022-07-03,AA,90
2022-07-10,AA,87
2022-07-17,AA,85
2022-07-24,AA,86
2022-07-31,AA,88
2022-08-07,AA,86
2022-08-14,AA,86
2022-08-21,AA,81
2022-08-28,AA,80
2022-09-04,AA,78
2022-09-11,AA,77
2022-09-18,AA,77
2022-09-25,AA,77
2022-10-02,AA,76
2022-10-09,AA,76
2022-10-16,AA,78
2022-10-23,AA,77
2022-10-30,AA,75
2022-11-06,AA,75
2022-11-13,AA,77
2022-11-20,AA,78
2022-11-27,AA,75
2022-12-04,AA,76
2022-12-11,AA,82
2022-12-18,AA,90
2022-12-25,AA,88
2023-01-01,AA,78
2023-01-08,AA,80
2023-01-15,AA,77
2023-01-22,AA,81
2023-01-29,AA,82
2023-02-05,AA,80
2023-02-12,AA,78
2023-02-19,AA,87
2023-02-26,AA,85
2023-03-05,AA,82
2023-03-12,AA,80
2023-03-19,AA,80
2023-03-26,AA,84
2023-04-02,AA,83
2023-04-09,AA,79
2023-04-16,AA,88
2023-04-23,AA,86
2023-04-30,AA,88
2023-05-07,AA,85
2023-05-14,AA,85
2023-05-21,AA,85
2023-05-28,AA,81
2023-06-04,AA,85
2023-06-11,AA,87
2023-06-18,AA,85
2023-06-25,AA,96
2023-07-02,AA,90
2023-07-09,AA,93
2023-07-16,AA,89
2023-07-23,AA,84
2023-07-30,AA,84
2023-08-06,AA,91
2023-08-13,AA,88
2023-08-20,AA,82
2023-08-27,AA,84
2023-09-03,AA,81
2023-09-10,AA,81
2023-09-17,AA,79
2023-09-24,AA,85
2023-10-01,AA,77
2023-10-08,AA,86
2023-10-15,AA,86
2023-10-22,AA,79
2023-10-29,AA,71
2023-11-05,AA,78
2023-11-12,AA,78
2023-11-19,AA,80
2023-11-26,AA,81
2023-12-03,AA,77
2023-12-10,AA,80
2023-12-17,AA,86
2023-12-24,AA,79
2023-12-31,AA,81
2024-01-07,AA,90
2024-01-14,AA,98
2024-01-21,AA,85
2024-01-28,AA,77
2024-02-04,AA,76
2024-02-11,AA,73
2024-02-18,AA,82
2024-02-25,AA,78
2024-03-03,AA,85
2024-03-10,AA,84
2024-03-17,AA,82
2024-03-24,AA,79
2024-03-31,AA,80
2024-04-07,AA,81
2024-04-14,AA,79
2024-04-21,AA,78
2024-04-28,AA,74
2024-05-05,AA,82
2024-05-12,AA,86
2024-05-19,AA,80
2024-05-26,AA,92
2024-06-02,AA,88
2024-06-09,AA,87
2024-06-16,AA,81
2024-06-23,AA,88
2024-06-30,AA,84
2024-07-07,AA,87
2024-07-14,AA,90
2024-07-21,AA,93
2024-07-28,AA,85
2024-08-04,AA,90
2024-08-11,AA,82
2024-08-18,AA,83
2024-08-25,AA,85
2024-09-01,AA,79
2024-09-08,AA,76
2024-09-15,AA,79
2024-09-22,AA,81
2024-09-29,AA,73
2024-10-06,AA,77
2024-10-13,AA,74
2024-10-20,AA,75
2024-10-27,AA,74
2024-11-03,AA,65
2024-11-10,AA,74
2024-11-17,AA,74
2024-11-24,AA,78
2024-12-01,AA,78
2024-12-08,AA,77
2024-12-15,AA,83
2024-12-22,AA,90
2024-12-29,AA,84
2025-01-05,AA,90
2025-01-12,AA,81
2025-01-19,AA,77
2025-01-26,AA,100
2025-02-02,AA,78
2025-02-09,AA,78
2025-02-16,AA,89
2025-02-23,AA,85
2025-03-02,AA,79
2025-03-09,AA,78
2025-03-16,AA,84
2025-03-23,AA,77
2025-03-30,AA,80
2025-04-06,AA,79
2025-04-13,AA,77
2025-04-20,AA,76
2025-04-27,AA,78
2025-05-04,AA,79
2025-05-11,AA,83
2025-05-18,AA,84
2025-05-25,AA,82
2025-06-01,AA,83
2025-06-08,AA,86
2025-06-15,AA,86
2025-06-22,AA,92
2025-06-29,AA,89
2025-07-06,AA,95
2025-07-13,AA,94
2025-07-20,AA,93
2025-07-27,AA,97
2025-08-03,AA,91
2025-08-10,AA,89
2025-08-17,AA,88
2025-08-24,AA,86
2025-08-31,AA,80
2025-09-07,AA,79
2025-09-14,AA,78
2025-09-21,AA,80
2025-09-28,AA,78
2025-10-05,AA,80
2025-10-12,AA,89
2020-10-11,AAL,29
2020-10-18,AAL,34
2020-10-25,AAL,31
