date,ticker,close,d2c,shorts,volume,trend_score,news_volume,wiki_views
2022-12-30,AA,45.47,1.58,6111842,3875830,86.5,3,15
2023-01-13,AA,54.61,1.47,6909999,4711187,77.0,8,12
2023-01-31,AA,52.24,1.16,6822219,5895463,79.0,10,6
2023-02-15,AA,48.41,1.63,7122067,4379408,77.5,3,23
2023-02-28,AA,48.94,1.45,7620237,5266812,84.0,10,9
2023-03-15,AA,39.77,1.28,7697297,6011811,81.0,9,5
2023-03-31,AA,42.56,1.09,5791069,5322727,78.5,8,9
2023-04-14,AA,40.4,1.77,7260151,4097477,79.0,6,5
2023-04-28,AA,37.14,1.06,5812324,5493653,84.5,9,11
2023-05-15,AA,36.99,2.45,8130318,3323362,84.5,11,7
2023-05-31,AA,31.72,1.48,6299886,4256360,83.0,9,11
2023-06-15,AA,35.97,1.42,6733808,4737423,84.5,2,7
2023-06-30,AA,33.93,1.56,7877660,5041030,90.5,6,6
2023-07-14,AA,34.52,1.76,9134902,5182076,90.5,7,5
2023-07-31,AA,36.19,1.46,9692259,6653312,84.5,7,8
2023-08-15,AA,30.34,1.96,9684207,4935754,88.5,2,7
2023-08-31,AA,30.08,1.76,11998499,6798589,80.0,4,10
2023-09-15,AA,28.85,1.87,10522733,5634518,77.5,2,12
2023-09-29,AA,29.06,1.79,11708418,6551507,78.5,11,7
2023-10-13,AA,26.58,2.67,12783610,4780365,80.0,10,10
2023-10-31,AA,25.64,1.82,13272684,7286332,76.0,10,7
2023-11-15,AA,26.95,2.54,11816922,4653532,76.5,3,25
2023-11-30,AA,26.86,2.85,11153707,3912946,78.0,4,6
2023-12-15,AA,31.1,1.6,12789339,7995367,76.5,5,8
2023-12-29,AA,34.0,1.92,11711293,6099645,80.5,4,5
2024-01-12,AA,30.03,2.06,10924435,5312930,80.5,6,11
2024-01-31,AA,29.75,1.6,11743118,7348465,78.0,14,18
2024-02-15,AA,27.39,2.01,11224139,5595107,75.5,4,15
2024-02-29,AA,27.21,1.94,11837869,6091374,79.0,11,18
2024-03-15,AA,30.44,2.07,13178700,6371858,83.0,7,38
2024-03-28,AA,33.79,2.34,14365673,6133982,78.5,3,69
2024-04-15,AA,36.57,2.3,15412810,6704475,77.5,7,11
2024-04-30,AA,35.14,1.59,12213880,7667537,75.5,10,21
2024-05-15,AA,40.04,2.29,12481857,5461704,79.5,6,13
2024-05-31,AA,44.27,2.21,12496353,5649225,88.0,2,25
2024-06-14,AA,37.9,3.34,12774970,3824253,86.0,2,17
2024-06-28,AA,39.78,2.46,12087605,4915450,81.5,7,13
2024-07-15,AA,39.3,2.51,10961394,4370771,85.5,8,15
2024-07-31,AA,33.04,2.33,16286344,6993716,89.0,12,20
2024-08-15,AA,32.09,1.5,13010958,8702772,86.0,1,9
2024-08-30,AA,32.1,2.39,11370782,4758982,81.0,1,7
2024-09-13,AA,32.52,1.94,9705780,5010403,77.0,4,17
2024-09-30,AA,38.58,1.46,10003252,6861700,75.5,7,8
2024-10-15,AA,41.3,2.05,9313516,4545979,74.0,6,10
2024-10-31,AA,40.09,1.84,8781677,4780598,74.5,15,17
2024-11-15,AA,44.02,1.62,8795231,5437246,71.5,4,14
2024-11-29,AA,46.43,2.22,8452238,3804191,75.5,4,8
2024-12-13,AA,39.12,1.78,8328174,4683770,76.0,8,11
2024-12-31,AA,37.78,2.39,8240146,3445012,87.5,3,8
2025-01-15,AA,38.19,2.1,9086942,4335291,84.0,4,6
2025-01-31,AA,35.32,1.33,8504006,6412381,88.5,18,15
2025-02-14,AA,36.24,2.49,11419473,4581105,76.5,13,10
2025-02-28,AA,33.25,2.45,11420724,4670793,83.5,5,11
2025-03-14,AA,33.53,2.07,10707618,5173356,80.0,10,12
2025-03-31,AA,30.5,2.31,11073548,4803802,80.5,6,26
2025-04-15,AA,24.68,1.86,15374943,8252026,74.0,4,19
2025-04-30,AA,24.53,1.58,12246636,7751354,77.5,13,17
2025-05-15,AA,28.67,1.69,11762241,6961331,81.5,6,6
2025-05-30,AA,26.77,1.88,10227374,5438741,80.0,4,10
2025-06-13,AA,28.35,2.31,14449702,6247878,81.5,3,12
2025-06-30,AA,29.51,2.8,17156674,6117194,88.5,4,12
2025-07-15,AA,28.49,2.48,14593406,5879706,93.0,10,10
2025-07-31,AA,29.97,2.35,16132572,6860669,92.0,11,9
2025-08-15,AA,29.48,2.09,11487621,5493807,87.5,3,13
2025-08-29,AA,29.48,2.52,11455284,4553298,85.5,1,5
2025-09-15,AA,29.48,1.59,10436592,6581132,77.0,3,27
2020-08-14,AAL,13.33,1.91,150875011,78804582,0.0,47,1
2020-08-31,AAL,13.05,2.71,151581485,55870117,0.0,16,4
2020-09-15,AAL,13.14,2.65,150933609,56978138,0.0,6,5
2020-09-30,AAL,12.29,3.29,156636015,47601007,0.0,1,1
2020-10-15,AAL,12.23,2.66,157947670,59483966,0.0,4,1
2020-10-30,AAL,11.28,3.14,172765872,55107304,7.0,12,2
2020-11-13,AAL,12.24,1.93,141817804,73589497,7.5,21,6
2020-11-30,AAL,14.13,1.76,141848467,80739188,9.5,41,8
2020-12-15,AAL,17.01,1.59,160823723,101002470,10.5,54,5
2020-12-31,AAL,15.77,3.13,171336981,54682584,7.5,48,8
2021-01-15,AAL,15.76,3.06,152632087,49881830,7.0,31,12
2021-01-29,AAL,17.17,1.13,97372491,86164326,14.5,49,10
2021-02-12,AAL,17.27,2.23,80222948,35915035,9.5,25,5
2021-02-26,AAL,20.94,1.49,76349014,51413003,8.5,26,10
2021-03-15,AAL,25.17,1.75,73850983,42229762,9.0,58,12
2021-03-31,AAL,23.9,1.93,78767115,40710631,7.0,31,6
2021-04-15,AAL,22.13,3.15,86313185,27405923,6.5,44,3
2021-04-30,AAL,21.72,2.5,90791904,36339502,6.5,49,4
2021-05-14,AAL,22.4,2.93,84496920,28844040,5.0,19,3
2021-05-28,AAL,24.24,2.65,83756250,31641606,6.0,22,2
2021-06-15,AAL,22.79,2.76,81067596,29404738,5.0,26,5
2021-06-30,AAL,21.21,3.37,89581312,26617246,5.0,31,4
2021-07-15,AAL,20.46,3.17,91490076,28871308,4.5,35,2
2021-07-30,AAL,20.38,2.32,83947070,36109839,5.0,54,8
2021-08-13,AAL,19.84,2.75,90551765,32973319,4.5,13,10
2021-08-31,AAL,19.94,3.91,102606597,26249420,3.5,16,7
2021-09-15,AAL,19.38,3.18,97302382,30569002,3.0,31,2
2021-09-30,AAL,20.52,2.63,90225324,34339212,4.0,29,9
2021-10-15,AAL,19.98,3.31,90155881,27261807,3.5,21,2
2021-10-29,AAL,19.2,3.51,95586408,27270113,3.5,27,10
2021-11-15,AAL,20.32,2.37,72512021,30543563,3.5,35,9
2021-11-30,AAL,17.69,2.62,98852946,37761527,4.0,21,3
2021-12-15,AAL,16.99,2.07,102466793,49398182,4.5,41,4
2021-12-31,AAL,17.96,2.92,94009375,32183749,3.5,28,30
2022-01-14,AAL,18.49,2.4,85910105,35742135,3.5,26,2
2022-01-31,AAL,16.47,2.19,99736816,45453393,3.5,45,15
2022-02-15,AAL,18.84,2.11,85982026,40835012,4.0,8,5
2022-02-28,AAL,17.25,2.22,85388260,38491758,3.5,13,4
2022-03-15,AAL,15.57,1.64,107079664,65113871,4.5,33,3
2022-03-31,AAL,18.25,2.28,92673521,40625184,4.0,16,8
2022-04-14,AAL,19.0,2.45,92187959,37704257,3.0,20,1
2022-04-29,AAL,18.77,2.12,82687055,39014704,4.0,50,8
2022-05-13,AAL,16.58,2.49,84424604,33963040,3.0,3,2
2022-05-31,AAL,17.87,2.87,86820513,30262451,2.5,13,7
2022-06-15,AAL,13.31,2.42,89898867,37158045,3.0,21,2
2022-06-30,AAL,12.68,2.13,82820725,38888358,3.0,35,1
2022-07-15,AAL,14.47,2.0,77025213,38420545,2.5,31,6
2022-07-29,AAL,13.71,2.27,80568807,35473161,3.5,32,4
2022-08-15,AAL,15.33,2.8,72812357,26002536,3.0,16,6
2022-08-31,AAL,12.99,3.21,77580601,24180108,2.0,22,7
2022-09-15,AAL,14.27,2.81,80135453,28473285,2.0,11,4
2022-09-30,AAL,12.04,2.35,85910127,36557079,2.0,11,3
2022-10-14,AAL,13.11,2.12,86287305,40695500,2.0,24,4
2022-10-31,AAL,14.18,2.41,86494438,35925592,2.0,34,10
2022-11-15,AAL,14.61,3.37,91398791,27137045,2.0,9,9
2022-11-30,AAL,14.43,3.87,86500008,22360508,2.0,9,8
2022-12-15,AAL,12.93,2.97,82137120,27641093,2.0,14,8
2022-12-30,AAL,12.72,4.12,89809671,21817703,2.0,16,11
2023-01-13,AAL,17.02,2.3,89509418,38875971,2.5,44,10
2023-01-31,AAL,16.14,2.83,83755982,29608454,2.5,34,8
2023-02-15,AAL,16.8,3.68,72374027,19657727,2.0,8,7
2023-02-28,AAL,15.98,3.14,62797137,20011740,2.0,11,8
2023-03-15,AAL,13.86,2.74,58555191,21394877,2.0,16,3
2023-03-31,AAL,14.75,3.01,59495122,19791993,2.0,9,1
2023-04-14,AAL,12.79,2.2,66281716,30073642,2.5,26,7
2023-04-28,AAL,13.64,2.27,69945489,30769080,2.5,22,3
2023-05-15,AAL,14.28,2.86,62193100,21759204,2.0,14,13
2023-05-31,AAL,14.78,2.52,64331669,25496270,2.0,30,3
2023-06-15,AAL,16.65,2.97,63593527,21422948,2.5,12,6
2023-06-30,AAL,17.94,3.05,67911978,22275357,2.5,8,5
2023-07-14,AAL,18.14,3.03,67806794,22405545,2.5,45,3
2023-07-31,AAL,16.75,2.41,63229159,26240072,2.5,43,6
2023-08-15,AAL,15.55,2.69,65916912,24496001,2.0,14,3
2023-08-31,AAL,14.73,3.18,64752208,20360647,2.0,31,3
2023-09-15,AAL,13.31,3.11,82194796,26387706,2.0,21,6
2023-09-29,AAL,12.81,2.8,76447264,27260526,2.0,16,4
2023-10-13,AAL,11.72,1.7,71215180,41786356,2.0,17,5
2023-10-31,AAL,11.15,2.26,100663327,44567687,2.0,33,50
2023-11-15,AAL,12.42,2.18,73607306,33789274,2.0,12,70
2023-11-30,AAL,12.43,2.34,67650965,28968906,2.0,19,16
2023-12-15,AAL,14.49,1.55,62703995,40473298,2.0,11,3
2023-12-29,AAL,13.74,2.43,58639828,24172976,2.0,12,5
2024-01-12,AAL,13.21,1.16,48995330,42180096,2.0,27,9
2024-01-31,AAL,14.23,1.0,40802414,45866643,2.5,35,24
2024-02-15,AAL,14.9,1.38,41435483,29973858,2.0,14,7
2024-02-29,AAL,15.68,1.47,37805747,25670443,2.0,12,3
2024-03-15,AAL,13.96,1.4,45562853,32502265,2.0,27,4
2024-03-28,AAL,15.35,1.66,40560830,24429700,2.0,6,17
2024-04-15,AAL,12.94,1.57,51721369,32855360,2.0,10,5
2024-04-30,AAL,13.51,1.47,52684995,35767828,2.0,36,9
2024-05-15,AAL,14.94,2.0,53327236,26605165,2.0,9,10
2024-05-31,AAL,11.5,2.0,83415716,41791224,2.5,42,7
2024-06-14,AAL,11.28,2.25,79211434,35145202,2.5,38,20
2024-06-28,AAL,11.33,3.26,87237350,26777431,2.0,23,35
2024-07-15,AAL,10.63,3.49,110407761,31593303,3.0,35,41
2024-07-31,AAL,10.64,1.9,83171696,43841302,2.5,182,16
2024-08-15,AAL,10.09,3.59,121642787,33857671,2.5,159,15
2024-08-30,AAL,10.62,3.96,97032916,24505446,2.0,172,8
2024-09-13,AAL,10.69,2.87,95522005,33277941,2.0,174,17
2024-09-30,AAL,11.24,1.82,84430817,46474419,2.0,37,7
2024-10-15,AAL,12.03,2.5,81867102,32750342,2.0,11,5
2024-10-31,AAL,13.4,1.89,66510760,35195779,2.5,31,5
2024-11-15,AAL,14.39,2.3,56939882,24799331,2.0,12,7
2024-11-29,AAL,14.52,2.3,47434056,20589967,2.0,18,4
2024-12-13,AAL,16.92,1.45,47221168,32478024,2.5,22,9
2024-12-31,AAL,17.43,2.36,45315671,19173195,2.0,27,7
2025-01-15,AAL,18.07,1.92,51088739,26582177,2.0,29,7
2025-01-31,AAL,16.92,1.33,51625770,38715866,3.0,59,9
2025-02-14,AAL,15.97,1.78,50861546,28642901,2.0,4,7
2025-02-28,AAL,14.35,1.45,60714575,42012502,2.0,15,5
2025-03-14,AAL,10.87,1.0,58688463,76474797,2.5,17,6
2025-03-31,AAL,10.55,1.0,51167897,53977134,2.5,8,11
2025-04-15,AAL,9.85,1.0,68723838,79405581,3.0,21,12
2025-04-30,AAL,9.95,1.1,73552177,66741088,3.0,34,10
2025-05-15,AAL,11.76,1.03,67468549,65663962,2.5,12,5
2025-05-30,AAL,11.41,1.22,66195579,54354288,2.0,8,7
2025-06-13,AAL,10.37,1.29,67243519,51989246,2.0,11,6
2025-06-30,AAL,11.22,1.34,71857987,53479992,2.0,5,3
2025-07-15,AAL,12.17,1.03,66230607,64080646,2.5,16,9
2025-07-31,AAL,11.49,1.0,62462584,73884621,3.0,34,2
2025-08-15,AAL,11.705,1.03,65052871,62978230,2.0,8,8
2025-08-29,AAL,11.705,1.05,65925377,62785118,2.0,5,58
2025-09-15,AAL,11.705,1.0,72107910,88082868,2.0,6,56
2020-11-30,AAN,19.19,2.89,1680655,580640,2.0,4,0
2020-12-15,AAN,17.99,1.0,879086,2087996,2.0,4,0
2020-12-31,AAN,18.96,1.02,723842,709721,2.0,1,0
2021-01-15,AAN,21.47,1.0,525866,621805,2.0,1,0
2021-01-29,AAN,16.94,1.58,556077,350918,2.0,0,0
2021-02-12,AAN,19.97,1.7,552172,324870,2.0,1,0
2021-02-26,AAN,21.96,2.02,626169,309241,2.0,2,0
2021-03-15,AAN,26.5,1.88,655074,349177,2.0,1,0
2021-03-31,AAN,25.68,3.0,794222,265051,2.0,0,0
2021-04-15,AAN,24.91,4.68,865391,184966,2.0,1,0
2021-04-30,AAN,30.89,2.41,847654,352365,2.5,4,0
2021-05-14,AAN,32.57,2.17,781697,359891,2.0,1,0
2021-05-28,AAN,35.97,3.97,893281,224864,2.0,1,0
2021-06-15,AAN,36.13,3.24,732535,226188,2.0,2,0
2021-06-30,AAN,31.99,1.23,556884,452741,2.0,1,0
2021-07-15,AAN,27.98,2.13,734727,345570,2.0,1,0
2021-07-30,AAN,28.87,2.12,781046,368277,2.0,6,0
2021-08-13,AAN,29.24,2.98,719574,241274,2.0,1,0
2021-08-31,AAN,26.52,2.12,597977,281777,2.0,2,0
2021-09-15,AAN,26.16,3.56,710970,199966,2.0,1,0
2021-09-30,AAN,27.54,2.6,646074,248131,2.0,0,0
2021-10-15,AAN,27.48,4.52,587144,129949,2.0,1,0
2021-10-29,AAN,23.39,1.75,659770,376352,2.0,2,0
2021-11-15,AAN,25.75,3.26,708647,217493,2.0,1,0
2021-11-30,AAN,22.2,3.0,683305,227693,2.0,1,0
2021-12-15,AAN,23.72,2.81,751338,267412,2.0,0,0
2021-12-31,AAN,24.65,3.13,710492,226981,2.0,0,0
2022-01-14,AAN,22.96,3.8,676846,177945,2.0,1,0
2022-01-31,AAN,21.17,3.37,896238,266119,2.0,2,0
2022-02-15,AAN,21.62,4.62,1366616,296045,2.0,1,0
2022-02-28,AAN,20.99,5.3,1726418,325507,2.0,2,0
2022-03-15,AAN,22.0,6.05,1544687,255432,2.0,0,0
2022-03-31,AAN,20.08,4.2,1620274,385579,2.0,1,0
2022-04-14,AAN,21.38,6.63,1759306,265470,2.0,2,0
2022-04-29,AAN,20.53,8.39,1939928,231236,1.5,6,0
2022-05-13,AAN,19.99,8.3,1883373,227014,2.0,4,0
2022-05-31,AAN,19.56,5.77,1785885,309655,2.0,4,0
2022-06-15,AAN,16.49,7.24,1837170,253706,2.0,3,0
2022-06-30,AAN,14.55,4.76,1978119,415689,2.0,1,0
2022-07-15,AAN,14.67,6.35,2346671,369395,2.0,2,0
2022-07-29,AAN,13.02,3.95,2218647,562354,2.0,4,0
2022-08-15,AAN,14.5,7.09,2169620,306151,2.0,0,0
2022-08-31,AAN,11.9,7.71,1848852,239736,2.0,1,0
2022-09-15,AAN,12.18,4.27,1560373,365387,2.0,0,0
2022-09-30,AAN,9.72,2.47,1099538,445044,2.0,0,0
2022-10-14,AAN,8.86,3.01,1324924,440111,2.0,0,0
2022-10-31,AAN,10.42,2.1,1662342,791116,2.0,5,0
2022-11-15,AAN,10.76,3.97,1727681,434736,1.5,1,0
2022-11-30,AAN,12.19,4.67,1735879,371607,1.5,1,0
2022-12-15,AAN,12.12,5.61,1926593,343222,2.0,0,0
2022-12-30,AAN,11.95,5.31,1960577,369314,2.0,0,0
2023-01-13,AAN,14.35,7.19,1955786,272085,2.0,0,0
2023-01-31,AAN,14.65,8.83,1584624,179516,2.0,1,0
2023-02-15,AAN,15.07,9.65,1932466,200261,2.0,0,0
2023-02-28,AAN,14.35,8.91,1980214,222152,2.0,0,0
2023-03-15,AAN,10.2,4.21,1841487,437407,2.0,4,0
2023-03-31,AAN,9.66,3.71,1813262,489382,2.0,1,0
2023-04-14,AAN,10.59,4.69,1757709,374385,2.0,0,0
2023-04-28,AAN,13.35,3.39,1604207,473535,3.0,3,0
2023-05-15,AAN,12.62,4.67,1287074,275405,2.0,0,0
2023-05-31,AAN,12.24,6.51,1117746,171759,2.0,3,0
2023-06-15,AAN,13.61,3.75,1020901,272133,2.0,3,0
2023-06-30,AAN,14.14,2.75,1078876,391718,2.0,5,0
2023-07-14,AAN,14.79,2.62,997989,381411,2.0,1,0
2023-07-31,AAN,15.82,4.7,1038884,221077,2.5,4,18
2023-08-15,AAN,12.61,4.08,1177107,288786,2.0,5,3
2023-08-31,AAN,12.07,6.22,1299611,208815,2.0,5,0
2023-09-15,AAN,9.75,1.0,1480514,1625307,2.0,4,0
2023-09-29,AAN,10.47,1.69,853380,504299,2.0,3,1
2023-10-13,AAN,9.37,2.74,817710,298548,2.0,2,2
2023-10-31,AAN,7.41,1.66,896941,541394,2.0,8,0
2023-11-15,AAN,8.8,1.48,689826,465173,2.0,3,1
2023-11-30,AAN,8.81,1.75,717292,409438,2.0,6,2
2023-12-15,AAN,11.09,1.34,730989,547469,2.0,1,0
2023-12-29,AAN,10.88,2.5,706335,282780,2.0,0,0
2024-01-12,AAN,10.46,2.39,703140,293604,2.0,2,0
2024-01-31,AAN,10.29,3.35,694894,207678,2.0,6,5
2024-02-15,AAN,10.83,3.07,691054,224796,2.0,3,1
2024-02-29,AAN,7.75,1.8,689091,382399,2.0,11,2
2024-03-15,AAN,6.95,1.51,532998,353451,2.0,4,9
2024-03-28,AAN,7.5,1.61,433944,269930,2.0,3,2
2024-04-15,AAN,7.09,1.99,437148,219652,3.0,5,3
2024-04-30,AAN,6.91,2.23,489682,219517,2.0,0,0
2024-05-15,AAN,7.4,2.69,534991,199246,2.0,7,2
2024-05-31,AAN,8.48,3.13,612564,195445,2.0,1,3
2024-06-14,AAN,7.54,2.42,751075,310004,2.0,2,1
2024-06-28,AAN,9.98,1.0,966958,2276585,2.0,15,3
2024-07-15,AAN,9.97,1.77,1361373,767731,2.0,0,5
2024-07-31,AAN,10.0,1.87,1375941,735068,2.0,4,1
2024-08-15,AAN,10.08,2.72,2076861,763325,2.0,6,0
2024-08-30,AAN,10.09,6.32,3502186,553865,2.0,0,3
2024-09-13,AAN,10.04,2.98,3968776,1331330,2.0,2,16
2024-09-30,AAN,9.95,2.49,4419623,1774574,2.0,0,1
2020-08-14,AAP,158.66,3.12,1964511,630490,0.0,13,8
2020-08-31,AAP,156.31,2.03,1939762,954174,0.0,10,35
2020-09-15,AAP,156.88,3.1,1881114,606298,0.0,6,25
2020-09-30,AAP,153.5,3.22,2287298,710054,0.0,21,13
2020-10-15,AAP,157.52,3.79,2375290,626993,0.0,19,4
2020-10-30,AAP,147.28,3.48,2073349,595229,3.0,9,4
2020-11-13,AAP,154.0,2.97,2892619,973896,2.5,6,6
2020-11-30,AAP,147.7,3.39,3305471,975511,2.5,3,22
2020-12-15,AAP,159.84,3.29,2960644,899891,3.0,0,11
2020-12-31,AAP,157.51,3.44,2812940,818750,2.0,1,6
2021-01-15,AAP,165.25,3.35,2997842,895821,3.0,2,8
2021-01-29,AAP,149.14,3.43,3913296,1139526,3.0,0,7
2021-02-12,AAP,152.81,3.32,3445967,1037823,3.0,8,7
2021-02-26,AAP,160.35,3.48,3750563,1079046,3.0,5,6
2021-03-15,AAP,181.69,3.68,3169102,861601,3.0,2,4
2021-03-31,AAP,183.49,3.53,3001252,850424,3.0,3,9
2021-04-15,AAP,189.46,4.99,3275942,656205,3.0,1,5
2021-04-30,AAP,200.16,4.86,3705992,762437,3.0,8,12
2021-05-14,AAP,202.81,5.61,3281027,584386,3.0,5,8
2021-05-28,AAP,189.73,3.68,3399944,924675,3.0,5,3
2021-06-15,AAP,200.66,2.91,3188062,1095205,3.0,15,2
2021-06-30,AAP,205.14,4.79,3344843,698643,3.0,3,2
2021-07-15,AAP,209.25,5.82,3441200,591459,3.0,2,3
2021-07-30,AAP,212.06,6.87,3425754,498653,3.5,3,4
2021-08-13,AAP,206.43,7.51,3760667,500440,3.0,3,10
2021-08-31,AAP,202.85,4.87,3492266,716513,3.0,14,6
2021-09-15,AAP,206.21,7.2,3949460,548849,3.0,7,4
2021-09-30,AAP,208.89,6.77,4258293,629195,3.0,2,7
2021-10-15,AAP,215.43,7.82,3883420,496415,3.0,0,3
2021-10-29,AAP,225.52,5.36,3503426,653880,3.0,4,4
2021-11-15,AAP,241.91,5.49,3478148,633320,3.0,8,11
2021-11-30,AAP,220.72,4.65,3038721,653496,2.5,4,7
2021-12-15,AAP,239.14,4.86,3371617,693318,3.0,3,3
2021-12-31,AAP,239.88,4.4,2789891,634167,2.0,0,2
2022-01-14,AAP,239.6,4.13,2596406,628566,3.0,3,1
2022-01-31,AAP,231.51,3.97,2654812,669151,3.5,4,3
2022-02-15,AAP,222.6,3.05,3001404,982980,4.0,9,46
2022-02-28,AAP,204.48,2.78,3096501,1113405,3.0,1,3
2022-03-15,AAP,204.27,3.73,3452889,925440,4.5,4,2
2022-03-31,AAP,206.96,3.68,3421449,929953,3.5,4,3
2022-04-14,AAP,218.68,4.76,3362880,707161,3.0,1,0
2022-04-29,AAP,199.63,4.45,3707528,833991,3.0,1,4
2022-05-13,AAP,211.21,4.75,3541179,744849,3.0,2,3
2022-05-31,AAP,189.86,3.05,3713621,1219517,3.5,18,2
2022-06-15,AAP,172.29,5.16,3880422,751796,3.0,3,4
2022-06-30,AAP,173.09,4.1,3475600,848708,5.0,3,3
2022-07-15,AAP,188.71,6.07,4221928,695395,4.0,3,6
2022-07-29,AAP,193.62,6.19,4158094,671338,3.5,2,2
2022-08-15,AAP,205.33,8.43,4053157,480967,4.0,2,5
2022-08-31,AAP,168.64,2.89,3020187,1043309,4.0,16,5
2022-09-15,AAP,167.62,4.12,3259761,791678,3.5,4,6
2022-09-30,AAP,156.34,3.74,3074339,822143,4.0,4,5
2022-10-14,AAP,168.57,4.11,2926332,711160,4.0,3,4
2022-10-31,AAP,189.92,4.06,3096041,762498,3.5,3,9
2022-11-15,AAP,183.94,3.47,3082173,887468,3.5,8,17
2022-11-30,AAP,150.99,1.5,2789500,1859736,3.0,11,5
2022-12-15,AAP,143.23,3.09,3382798,1094085,3.5,3,6
2022-12-30,AAP,147.03,3.61,3018233,836176,3.0,2,6
2023-01-13,AAP,151.03,3.86,3214847,833374,3.5,2,8
2023-01-31,AAP,152.28,3.49,3395958,972175,4.0,4,3
2023-02-15,AAP,151.29,3.75,3406265,908339,3.5,3,6
2023-02-28,AAP,144.96,1.89,3498012,1848078,3.5,7,5
2023-03-15,AAP,121.77,2.01,3466302,1726437,3.0,4,5
2023-03-31,AAP,121.61,1.19,2177837,1834337,4.0,8,6
2023-04-14,AAP,123.6,2.02,2211665,1093775,3.5,3,5
2023-04-28,AAP,125.53,1.93,2162289,1121536,3.0,8,3
2023-05-15,AAP,121.95,2.54,2133705,839746,3.0,2,53
